# command:
# git-check-rebase --meta rebase_5.14.0-42.el9_5.14.0-70.13.1.el9.meta --rows-hide-level show_all --columns full rhel9.beta:rh9-5.14.0-42.el9..rh9-5.14.0-42.vz9.15.3 rhel9.rtm:rh9-5.14.0-70.13.1.el9..rh9-5.14.0-70.13.1.vz9.16.1
#

<tag>  rhel9.beta    rhel9.rtm     SUBJECT
match  0ae6ac42e884  184dee2eb7a1  sched: Add cpulimit cgroup interfaces
match  24dac1d50752  eb62f52ddbf4  sched: prohibit setting affinity from inside a CT
match  f8dac31ae6cc  bd05b5a811ed  sched: Return only virtual cpus in sched_getaffinity()
match  4db445af7780  ab23c3d1eb2e  device_cgroup: add device visibility virtualization in CT
match  49480d904168  7a9c23ef1ca7  ve/kernel: allow to increase rlimit from inside container
match  e44a2c99fcc0  dbc6dfaf9861  ve/net/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  3d91649107e6  78a7cfe8cdee  ve/net/dummy: enable support in a container
match  6a09cea9a30f  74aa57895252  ve/net/ip_gre: containerize per-net devices
match  11e04b404b98  5dc4b89a2c5f  ve/net: ip_vti: skip per net init in ve
match  dec68a8dcd00  50033c23a430  ve/net/vxlan: enable support in a container
match  9fb228554486  f56a5312b5e8  ve/uevent: Use own uevent_seqnum for every VE
match  9c33c99b60d4  74f2ce13bb5c  ve/kobj: Send events per VE instead of all net-namespaces broadcasting
match  ac55661f2101  5acf1107cd6d  ve/net: introduce vz_security_*_check checks
match  b72c8111d76b  56847031321b  ve/quota: allow to manage quota in top CT user ns
match  103be443ab45  0470f59c927e  rh/lib/cpumask: Make CPUMASK_OFFSTACK usable without debug dependency
match  693b74f52398  e9b9e20e2fdd  memcg: do not allow to disable oom from inside a container
match  bdfc9ca20ade  6dfa06ce5f46  ve/mm,oom: print information about ve of killed task
match  e2a8d6b2cbc8  90b84af95da9  oom: do not dump all tasks info on each oom kill
match  f33e2b59fa1e  dc9fde29853d  exit: clear TIF_MEMDIE after exit_task_work
match  8491a1522f1c  c236ea5a513a  memcg: add oom_guarantee
match  e43e1874ebfa  15cac45a229b  proc,memcg: use memcg limits for showing oom_score inside CT
match  83f9d312d55e  b6536a99255a  oom: resurrect berserker mode
match  21d7a93a8cb3  927f97b78498  oom: make berserker more aggressive
match  3f157276f562  a3905103a998  kernel/freezer: don't freeze stopped & about to be ptraced task
match  8ae9ebe2fe89  42eb088a0f3c  vzstat: Add base kstat structures and variables
match  ba3196bc0e48  4c0948b977d5  mm: Export swap_cache_info struct and variable
match  82beb65feb2f  89eb7c8a0046  mm: Export first_online_pgdat() and next_online_pgdat()
match  430519bfbeaa  9c36c837f4fc  vzstat: Add vzstat module and kstat interfaces
match  2dc10ee1e22b  e39524cebb5c  vzstat,sched: Track sched_lat_ve
match  90d789aa2968  fcb04cfac841  kernel: Export tasklist_lock
match  114a34a76f3d  47ea3924819d  vzstat: Update sched lat in vzmon
match  6deade232f8b  76fe2060a2ff  fs/ve: add new FS_VE_MOUNT flag to allow mount in container init userns
ok     fa6dfd7e2905  568f747791c7  fs: Mask appropriate filesystems FS_VIRTUALIZED
match  0bd47e235e46  823f0735b50a  VE/FS: containerize filesystems access
match  f69bd6bb814c  ee279453d2b3  ve/fs/locks: Make CAP_LEASE work in containers
match  9c5ca96d6fd6  9b30263d986a  ve/fanotify: Use ve-capable instead of plain capable test
match  b0a226a5f072  f29cd208bba8  ve/fs/namei: fix capabilities check in sys_renameat2 () to support Containers
match  c918d419af3d  cc213b7b4b68  ve/fs: add ve_capable to check capabilities relative to the current VE
match  dad6c2ab140a  471ca53049e7  ve/block: add ve_capable to check capabilities relative to the current VE
match  f0076ac966d7  4d9361474f71  ve/uts_ns: Implement cgroup interface to configure ve's os_release
match  d5c25ed92e44  7fbf70fc6380  ve/netlink: allow IPVS netlink messages to CT init userns
match  2821d1392f3c  cd1f9111aff3  ve: Allow taskstats via netlink in netns
match  8453f5990d90  5722fd76d45c  ve/taskstats: allow delivery of task attributes in CT context
match  6f81aede4620  b8d51037c559  ve/lockdep: Taint kernel on circular locking complains
match  e447716cdf60  55b6c99c05e6  ve/itimer: add ve_name to warning for a NULL new_value
match  9fb388e152b1  105d8964dcd5  proc/net: proc_net_*() helpers introduced
match  feb2b1626f11  1c9116809e8a  ve/proc/net: virtualize all the network proc entries
match  47b0c3847f1b  e49dcd5bb47c  mm/memcg: enable memory.low for cgroup v1
match  943ce7ff82da  9f298fa692cd  mm/memcg: enable memory.high for cgroup v1.
match  b7e10b25378b  c4d4ea1a7cf5  mm/vmalloc: add v[mz]alloc_account helpers
match  eda7695d7711  1994ca95599c  ms/memcg: enable accounting for net_device and Tx/Rx queues
match  e8b623818ade  da9c45476bd9  ms/memcg: enable accounting for IP address and routing-related objects
match  678c3fcbf079  03814fb6e830  ms/memcg: enable accounting for inet_bin_bucket cache
match  f6af7f19f336  0e77d1590221  ms/memcg: enable accounting for VLAN group array
match  daa1c7ed275b  123581168da0  ms/memcg: ipv6/sit: account and don't WARN on ip_tunnel_prl structs allocation
match  ccb07ccccd2e  d1a804b9d9d5  ms/memcg: enable accounting for scm_fp_list objects
match  81023d485b92  e61df6decf79  ms/memcg: enable accounting for pids in nested pid namespaces
match  5c6f3f07892d  23419ee49e3d  ms/memcg: enable accounting for pollfd and select bits arrays
match  a0d9c3ae7abc  011861d0508e  ms/memcg: enable accounting for file lock caches
match  f58d8de8aff1  67a2ae515c15  ms/memcg: enable accounting of ipc resources
match  4a956a1016f4  3bd88a6c18c2  ms/ipc: remove memcg accounting for sops objects in do_semtimedop()
match  69d837210bae  076fd746bd99  memcg: Enable accounting for nft objects
match  7f093a2e1914  1c12ab26d8ff  memcg: charge kmem allocations accounted to UBC in PCS6 to memcg
match  3e3cb2972d15  7df8b95dce11  netfilter/x_tables: account entry offsets allocations
match  dea15f4870de  abb021bff5e8  trace/osnoise: Fix compiler complain about using "main" local variable
match  4403e1054671  97494130c53e  ve/sysctl: write permission restriction
match  d5ad1ae9223a  4a342d652ea6  ve/sysctl: implement virtualized methods
match  d45a81f2368d  706dc921a146  sysctl: make hotplug, printk and mmap_min_addr accessible inside a CT
match  9a448eb2b378  14ceaa79a5a4  ve/sysctl/ipc: mark as virtualized
match  684879d4220b  45aa3462be99  ve/sysctl/pidns: allow to change sysctl "ns_last_pid" from containers
match  b626a040a310  c6773e2101be  ve/sysctl: allow to write kernel/hostname and kernel/domainname entries in container
match  7120d3f2e082  590ec26d1d37  introduce ve_net_hide_sysctl helper
match  bccb980e34ff  582c52fa7806  ve/sysctl/net: allow "net.unix.max_dgram_qlen" sysctl in CT init userns
match  bce8b74b5a28  e5f0567f7500  ve/sysctl/net: allow net.ipv4.vs.* in CT init userns
match  7639ecac59e6  0cfffabfe585  sysctl: Change sysctl::show_unhandled_signals default
match  9768eddb52be  ab9298751c69  ve/proc: restricted proc-entries scope
match  3c8be531a67c  e7a9b0759b81  ve/proc: Show vcpu in do_task_stat()
match  c0fa01bcd2b6  303b36699176  ve: Virtualize /proc/swaps to watch from inside CT
match  753e5218a024  5e3849f2df5c  ve/proc: print VE id and virtual pid in process status
match  12c031ae24d1  510a0e3d5103  ve: Replace 0 ppid with 1 (workaround for bad utils)
match  1de26099c9ef  31fa896a32c8  ve/proc: virtualize /proc/meminfo in a Container
match  9c6b580d8356  777e2825461a  cbt: introduce changed block tracking
match  2225e49bfc7d  9763df045a3d  cbt: Add config
match  9465b4637d6e  db92102cb615  livepatch: added minimal support for failure injection
match  ac67ea13f2fe  c5aa32ded9cb  mm: add warning about high order allocations
match  487f54002537  e9fef1a82ac5  net/mlx5: suppress high order allocation
match  40efaaf512b7  f14abc5dad00  keys, user: Fix high order allocation in user_instantiate() #PSBM-107794
match  2f332260b07b  349f92a4e9ec  x86/kvm/vmx: Suppress warning on high-order allocation
match  801f4602db88  33e11f62cb7a  include/linux/sockptr: introduce vmemdup_sockptr helper
match  b52b2ebaa36d  501b4361b41a  net/setsockopt: switch high order allocations to kvmalloc() in do_ip_setsockopt()
match  f969a7062a42  963313ecd99d  sctp: suppress warnings on high order memory allocation on sctp chunk creation
match  bd68eccf3cf4  2123640d9cf4  vhost: suppress high-order-allocation warning for vhost_log
match  a01d2c439f69  e78f874d1654  sctp: suppress warnings on high order memory allocation on packet transmit
match  3e4f7dd8c1fe  bb13e9e90893  x86/microcode/intel: hide warning on high order allocation for microcode area
match  6ee705aaeca4  a9e713eac9b1  net: silence high-order allocation warning from UDP with big headers.
match  9146d443a36c  0dd85af626dd  net: silence high-order-allocation warning in sctp_pack_cookie()
match  42b1f290f8a0  16a30ac2eb31  ipv6: silence high-order allocation warinig in rawv6_sendmsg()
match  095099b84876  7de5fd39a935  netlink: silence high-order memory allocation warning in netlink_ack
match  ef34fc47e9dd  b2631b88631c  modules: use kvmalloc when creating sysfs attributes for ELF sections
match  c36046cfc66c  d7d948e58ea9  net/vhost: Replace kmalloc with kvmalloc for order>=3
match  10614bb3aece  eaffb5b16114  mm/mempool: Use kvmalloc to allocate array of element pointers
match  20f7dfc168c4  4a55fb0be703  IB/core: Use kvzalloc to allocate ib_device
match  4d98c1aa7f88  537c6aa30dbf  bnx2x: Suppress warnings on DMA memory allocation
match  187800878650  88a78e46fb88  bnx2: Use kvzalloc() to allocate certain internal data
match  c777983133e7  ecbcebc3a54b  mm: introduce kvmalloc_check() for safe calls to kvmalloc()
match  1878d3a68aac  f60d1c9f470d  net/sock: teach sock_kmalloc() to call kvmalloc() when possible
match  8f818a732817  656b05890619  tty: use kvmalloc for screenbuffer allocation
match  e9039d17bb20  3fe6153432e7  kvm: use kvzalloc for struct kvm allocation
ok     9c313578995f  ffe587bbdae8  fs/pipe: Use kvcalloc for pipe buffers
match  90473aac67d0  9b298b89001f  net/drivers/i40e: suppress high order allocation warning
match  f4b141edbb72  b7f9aea90215  net/drivers/i40e: suppress warning on skb linearization
match  f7dc6370763a  4712eb765307  fence-watchdog: Add fence-watchdog driver
match  45a5ef667e59  ddfaf3ddde4d  fence-watchdog: Add xt_wdog_tmo netfilter match
match  a51af6fcfea1  4b23805c28ac  fence-watchdog/arptables: add ability to filter by watchdog timeout
match  54b5b9676d8a  199b9459002e  mm, cgroup, writeback: Enable per-cgroup writeback for v1 cgroup.
match  13bf14cb8664  d71e8c427741  x86: "pages zeroing on free" option introduced
match  4e265d4dd0b7  6b41e30459d1  mm: issue panic() on bad page/pte bugs if panic_on_warn is set
match  eb6714dc226d  2aef93eeeb2e  mm: memcontrol: add stats for reclaimable and unreclaimable stats
match  d2ac0a17feca  b63a9efc83e4  ve/mm: introduce min threshold for dcache
match  5aa6d4ab8db2  fa2f67ad920f  ve/mm: allow container's root to ignore mlock limit
match  27a5fc05646d  1baa0324dc22  mm: memcontrol: add swapin/out stats
match  ce049eaa5d02  e7d12a186415  mm, memcg: add oom counter to memory.stat memcgroup file
match  2654f2f1fa8d  c963dfc11b76  mm: per-memcg negative dentries accounting
match  012832e7c42c  d21eb80d747d  mm: default collapse huge pages if there's at least 1/4th ptes mapped
match  5dcce6d68c1b  ea70b9c99eb0  mm: memcontrol: add memory.numa_migrate file
match  96f2c5d16315  61a7a222713f  mm: Do not leak node data to CT's /proc/vmstat
match  c566face979b  b107e29eb58f  mm/mecontrol: add memcg_[un]charge_kmem() API
match  70e2decdafd7  5d31646e4318  mm/swap: activate swapped in pages on fault
match  1d7ed259051d  87b80c96108b  ve/mm: add heuristic check for memory overcommit
match  e9799426e5d3  445d4f2b898d  ve/audit: allow changing loginuid for VE root
match  943f9a0e6e98  954ee53be9aa  configs: provide kernel config via proc
match  6b12f8392007  567334a59d0e  ve/procfs: make /proc/config.gz visible inside Containers
match  dd5bae491433  0878bbc61bf9  configs: Limit number of legacy ptys
match  11550a9ed1cf  314d6e9b6b81  configs: Increase default value for vm.mmap_min_addr
match  99177e77a3ed  709aad0ccd79  configs: VZ options
match  41d2adc7cd30  f4b909d7e184  dm-tracking: Add tracking_clear cmd
ok     2d21b0f4671f  c9d60cc34644  ve/printk: Introduce struct "log_state" and virtualize log_buf/log_buf_len
ok     5c0a1447b8dd  d453856434c9  ve/printk: Virtualize "prb" and "clear_seq"
                                     (log->prb should be moved from ("ve/printk: Virtualize syslog_*"))
ok     e08fc5fbdd57  edff531df565  ve/printk: Virtualize syslog_*
                                     (log->prb should be moved to ("ve/printk: Virtualize "prb" and "clear_seq""))
ok     221c6c5203b4  16291323cc5f  ve/printk: Virtualize console_*
ok     15fda8e27a80  8dd2171d7104  ve/printk: Virtualize log_wait queue
match  16d42ded4644  8a040d980de0  ve/printk: Introduce ve_printk()
match  aa7c3f1fec6e  dbdf2f525dc7  ve/printk: per-CT printk helpers introduced
match  1c328df3332f  038166b5b5c2  ve: Use ve_printk() for often kernel messages about user actions
match  ae48c350dbd3  b46f7adeaffe  ve: use ve_printk() to print VMA address in case of segfault
match  f71a5b60e632  d1c5e2bddc73  ve: network rate-limited VE logging helpers introduced
match  1435fb0b27ab  e52edcfcf27a  ve/netfilter: ve_printk for "nf_conntrack: table full"
match  fdaae2aca560  230e940add22  ve/kthreadd: emulate kthreadd by kworker thread, attached to CT
match  2f82d348ae81  a0b76bfdcae5  ve/kthreadd: add per-ve kthreads creation interface
match  6091e4e5a7dc  580f2b1dde94  ve/kthreadd: create kthreadd in a containers pid ns
match  cb1d6fa6e791  3e5ea6a5e000  ve/umh: make queue function one of the subprocess_info parameters
match  2c7b14ff159f  1d1e5e66ea9c  ve/umh: init work separately from other subprocess_info parameters
match  4c5fae974f6c  48f134137d40  ve/umh: add per-container usermodehelper thread
match  1bc8605fa96d  242b732906b8  ve/umh: introduce per-container user mode helper macroses and functions
match  c4b7f2d363a1  2292f386af20  ve/umh: create kernel thread for each synchronious UMH request
match  d086b62647d0  a684fa188926  ve/umh: enable user mode helper in container
match  7c66f934366e  755c2c161557  sunrpc: add "kill-tasks" proc entry
match  00f07ff6a9b0  53f5bd2e207a  sunrpc: bring back SUNRPC task abort logic
match  5c4d5e751eed  3eee1c19eb56  sunrpc: pending tasks kill helper added
match  0376f0c384c7  d61e8e1cdf81  sunrpc: do not place task to sleep if has to be killed
match  a52d73563288  863c6bbdd60e  ve/fs/nfs: NFS containerization
match  5adea283b97d  cc8cca6f0891  ms/NFS/CIFS/SUNRPC: don't allow to freeze execution
match  de6a3701a189  8f65ef94f754  ve/sunrpc/nfsd: containerize kthreads
match  3ea97151116c  798f9890b3fc  ve/nfsd: enable UMH client tracker in a container
match  003e670be1c4  8b8a742b40fe  ve/nfsd: disable legacy recovery tracking for containers
match  7a9c1162cd99  501e6dc9f999  ve/fs/nfsd: NFSd containerization
match  7f7e84128636  a9c747eebd8d  nfsd: return file system superblock time granulaty on FSINFO request
match  b60ef4fa3571  7e6043fb480e  ve/sunrpc: Prohibit mounting rpc_pipefs in CT without nfsd feature
match  937679abad92  6c0006569cc0  ve/sunrpc: Enable rpc_pipefs mounts in Container root user namespace
match  cbda721f28b4  c8f3c1376f53  fs/nfs: more leaks for busy inodes case.
match  f7569dfeca60  bc410599cfa9  ve/perf: forbid perf events syscall in containers
match  7bb0fcc6dc62  f6f20fa9f694  ipc: add export_operations to mqueue sb
match  2999f5aae4f3  5b9a998b8516  ipc: WARN if trying to remove ipc object which is absent
match  fae77b694928  e8e9b827df3d  VE/sysrq-trigger: make it VE-namespace aware
match  3fd6c14d00b8  982c362c6f25  tmpfs: shmem_fallocate must return ERESTARTSYS
match  c7870ba3015e  9550029ff83e  kernel/sched/fair: Fix 'releasing a pinned lock'
match  11ff5ac9db2a  d6628d0fa164  ve/sched: Link VE root cpu cgroups in separate list
match  7d33197be528  639b1843c4fa  sched: Make calc_global_load() return true when it's need to update ve statistic
match  51a62d8c94e1  af00a098b027  ve/sched/loadavg: Calculate avenrun for Containers root cpu cgroups
match  905459b26b98  5dae5442bcd9  ve/sysinfo/loadavg: Virtualize loadavg values in sysinfo()
match  9bd85988f5c1  d882e3834def  ve/proc/loadavg: Virtualize /proc/loadavg in Containers
match  f16d9080a7ea  09e8f4a0ebe5  vzstat: Add kstat_glob.nr_unint_avg real accounting
match  6b3c7fe14930  c52f59d3b20f  ve, x86_64: add per-ve vdso mapping.
match  5f2212dacacf  cd3efce8ad11  ia32: add 32-bit vdso virtualization.
match  c39651502a7f  bd192f6237f5  ve: patch linux_version_code in vdso
match  720e35496761  2e64b9757730  ve/devmnt: Introduce ve::devmnt list #PSBM-108196
match  76332e396b33  a72ba04a4459  ve/fs/devmnt: process mount options
match  588cf264e1c9  9346c375d78e  userns: associate user_struct with the user_namespace
match  b3c58e996b79  ebde5329331b  ve/mm: print OOM info to VE log
match  caef34269ef3  0e141395008d  tty: Avoid threads files iterations in __do_SAK()
match  d75b0b1bfdfb  ef656a6489b9  tty: Use RCU read lock to iterate tasks and threads in __do_SAK()
match  1e98569826ee  44e86f36b63e  mnt: allow to add a mount into an existing group
match  700f06c10de6  516896238492  ve/fs/binfmt: move all internal data to structure
match  f428bcf1e891  0b57a631759b  ve/fs/binfmt: virtualization
match  0bbde6edf86e  1997023869b6  ve/binfmt_misc: destroy all nodes on ve stop
match  a68acfe1eae4  54bd7e5e8822  ve/kernfs: fix lookup for kernfs superblock
match  9ec6f270c369  00f508f102ea  kernfs/ve: ignore kernfs 've_perms_map' in cgroups.
match  0094594c9dd0  a9a3eb13e790  overlayfs: add dynamic path resolving in mount options
match  1eac982b40ed  fb1ae499c31b  overlayfs: add mnt_id paths options
match  db77299d66c1  bc568ab16dc6  configs: add/enable options for overlayfs paths absolute resolution
match  7e22156afff6  da2deea07ad2  configs: Set overlayfs nfs_export option to true
match  420f2d6bc5a1  90df7a5ce836  ve/fs/overlay: allow overlayfs to be used inside a Container
match  3acad7f6f16e  505d2f6e3a5b  overlayfs: relax capable check for trusted prefix xattrs
match  8b882f2c2288  0fe758f9cc31  ovl: make uuid=off compatible with overlayfs created without it
match  3b9726bb323e  cf0b82f3dab9  ve/vfs: introduce "fs.odirect_enable" sysctl and disable it by default
match  fb8d90add434  ddf525c14c55  ve/fs: add per-VE limit of mount points
match  5bf27cc1daa6  b9b0ff08e2e5  trusted/block: Added trusted flag to struct genhd
match  987f5ac7643a  3b4050f2f3f7  trusted/ve/fs/exec: Don't allow a privileged user to execute untrusted files
match  96dba2824ed3  f5b79dd397cb  trusted/ve/fs/exec: Send SIGSEGV to a process trying to execute untrusted files
match  71c8f7d30660  ada07cf66bfc  trusted/ve/exec: Allow trusted exec change both on boot and on running system
match  6ef508d26eb6  a67c1ccb240d  trusted/ve/mmap: Protect from unsecure library load from CT image
match  6efbabc80ca2  10746178878c  ve/time: remove our per-ve times in favor of mainstream time-namespaces
match  dc094b2f7eab  8544bd4fd9c2  ve/proc: Added separate start time field to task_struct to show in container
match  9541ace6c6e1  65ab6259ba95  ve: Add interface for ve::clock_[monotonic|bootbased] adjustment
match  4283c8728be3  17e7964a31fa  ve/time: Use ve_relative_clock in times() syscall and /proc/[pid]/stat
match  0a7bca40a469  794d2eae83b0  ve: Virtualize sysinfo
match  57da1df231f0  d6357bb7c038  ve/module: hide module refcounts from container
match  63e59affd5ca  c7c9fb16f6e2  ve/kernfs: export kernfs_perms_set() helper
match  a633455eb6a9  02f3cf3ae33b  ve/sysfs: generic sysfs_set_def_perms() helper introduced
match  ed7b600ce7a9  0d37fb782e00  ve/module: export sysfs dentries in containers
match  98bd2b2c7709  e852355de333  ve/net: allow to rename devices in non-ve namespaces
match  8a5690084ed6  84910a74940d  ve/prctl_set_mm: allow setting exe link while unprivileged for spfs
match  acb983879524  c199d7b047c5  ve/coredump: virtualize kernel.core_pattern sysctl
ok     d81bff22df9a  cfb0df6d2135  ext4: Teach the fs where the balloon inode is
                                     (The patch has been rewritten because ext4 moved to fs_context API, the patch has been reviewed in the scope of PSBM-140277)
ok     52ee3b9eb5d5  a2692cf3a3cb  ve/fs: Allow to mount ext4 in top CT userns
match  0103a94a593a  ebfee50524f2  ext4: Teach statfs to report reduced disk usage
match  6bf2805d8a93  a7a2b052877b  ext4: Don't show the active balloon to user
match  36af19c9fbb3  3ccf38787238  fs: Revert ee1904ba44bd "make alloc_file() static"
ok     735a743e1b56  58ee342cafd3  ext4: Provide a balloon nipple for management
match  a0439c27d824  83679d2d7a46  kernel/stat: Introduce kernel_cpustat operation wrappers
match  28eed8f6675a  a1c5301cea1f  ve/sched/stat: Add basic infrastructure for vcpu statistics
match  d41a4c1951b1  f4319fef997c  ve: uninline ve_get_monotonic() and ve_get_uptime()
match  f3330d026466  deacff1b96c7  ve/sched/stat: Introduce functions to calculate vcpustat data
match  e34b30280514  8af4dd755546  ve/proc/stat: Wire virtualized /proc/stat handler
match  0ec41698d8f0  469394274a70  sched: Fix task_group "iowait_sum" statistic accounting
match  a06138dc038c  dcf9162477f6  sched/stat: account ctxsw per task group
match  4d662f66ee5f  2504366e476c  ve/sched/stat: Introduce handler for getting CT cpu statistics
match  aa6af16ee1c5  811241a79e8c  ve/time/stat: idle time virtualization in /proc/loadavg
match  6a6551660ddf  3dd773503842  ve/proc/stat: Introduce CPUTIME_USED field in cpustat statistic
match  527a8410054a  b5d03a322c22  ve/vestat: Introduce /proc/vz/vestat
match  8af3a3673a77  5ba5d66b2e6b  sched/stat: account forks per task group
match  27244aa5c8bd  f6f299b31b40  ve/proc/net/nr_cpus: Cut lines in /proc/net/softnet_stat to number of vcpus in CT
match  756540a3f409  9394a7b524ea  sched: Count loadavg under rq::lock in calc_load_nohz_start()
match  b9cc95ec2e6a  325b29c8de74  sched/ve: Do not show loadavg in child VE cpu cgroups
match  72cb964bb873  6267a7b24ec7  sched: show CPU stats for a cgroup in cpu.proc.stat file
match  ef849f4d796a  2c835475d2ca  arch/x86: introduce cpuid override
