<tag>  vz7.189.x     vz7.190.x     SUBJECT
match  bb524e397ff5  4799e9fa5732  vzdev: initial patch
match  cdf512538d45  cca9bc2579bd  Revert: rh/kmod: use system_unbound_wq instead of khelper
match  20306021efdd  5ee9f916ac35  cgroup: initial patch
match  d840946dc116  fa4cbc739730  ms/cgroup: reorder the operations in cgroup_destroy_locked()
match  b17362664d28  bc08cd003bca  ms/cgroup: split cgroup destruction into two steps
match  4ea91418f602  562403033c78  ms/cgroup: use percpu refcnt for cgroup_subsys_states
match  3f30f7baf197  deae15255e18  ms/cgroup: switch to new percpu_ref API
ok     dd1a8ce54da3  f50aa8a0975d  ve: Add VZVERSION suffix to kernel release
match  1431fcd41d3a  9e5bf6108519  ve/sysinfo: don't clean uptime, procs and loads in containers
match  6e17521ba56f  28af804b9a69  ve: Prohibit containers add random entropy
match  d097fe3594cf  fea21df1ee4f  ve: Add ve syscalls numbers
match  295b21d0bd2f  be921ee30283  ve/ppc: wire OpenVZ-specific syscalls
match  b1075d2882a7  67c70eda8e6d  ve: Use ve_printk() for often kernel messages about user actions
match  437d6b068721  85dcde107f6b  ve: Implement per ve randomize_va_space
match  9f139066fa75  1e1aeee7cfa0  ve: Virtualize /proc/swaps to watch from inside CT
match  bfbf2f073f11  0104672b2719  ve: Virtualize /proc/cmdline
match  18406a60856c  8f80dbeba828  ve: Virtualize devpts superblock
match  db7df9509f34  62e6c38c11cf  ve: Add virtinfo subsys
match  d2d727cde067  ed5cc37a8e06  ve: Prohibit module load and usermode_helper from inside CT
match  0ff3272523a5  be774a1f36d6  ve: Use ve_relative_clock in times() syscall and /proc/[pid]/stat
match  e117d2d29dc8  326db90bc3a7  ve: Customize VE uptime
match  f5d6ec9f1348  ece5bcc2496e  ve: Replace 0 ppid with 1 (workaround for bad utils)
match  68d1a1e97af4  3ee1afc47901  ve: Virtualize sysinfo
match  a28cfb74b255  ef890c36fb10  ve: allow user ns in chroot
match  2ae5c5a48e8a  b80ef2e719c6  ve/userns: associate user_struct with the user_namespace
ok     70866697cc80  3853cb7789aa  ve: initial patch
ok     70866697cc80  f24efe2ecafe  ve: initial patch
match  39c3eaf86a7c  ddcfc6701ef4  ve/mm: print OOM info to VE log
match  b5cf2c767ef6  c84f2c02a4db  ve/mm/trace: introduce vps_dumpable flag
match  415cdc84c338  b2adc685f85a  ptrace: prevent tracing "init" from inside a CT
match  c4cc44e2ad3a  d06c0cf91c9b  ve/devmnt: Introduce ve::devmnt list
match  5582fc8028f4  cc860908db6f  ve/fs/devmnt: process mount options
match  292614991eef  c093d6bd8dad  ve/devmnt: Add a ability to show ve.mount_opts
match  53e24808b102  c02906666237  uts: Add virt_utsname and /proc/sys/kernel/virt_osrelease entry
match  1cb64836bdae  207be59bb6b5  ve/uts_ns: Implement cgroup interface to configure ve's os_release
match  3e79a1fe60a5  db9a37fb2894  ve: Port diff-ve-allow-taskstats-netlink-in-netns
match  4d2bc813570d  7ead15b0e679  ve/taskstats: allow delivery of task attributes in CT context
match  7fc9be41567e  4d9a53c12a0c  ve/lockdep: Port diff-lockdep-taint-kernel-on-circular-locking-complains
match  ff6813b189b5  c887eeae924e  ve: Add support of features mask
match  dd5e8be79a95  262548bfbdbc  ve: Add support of iptables mask
match  a1543c248591  441b5a699437  ve/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  4d3a952e477a  e629317d3931  ve/itimer: add ve_name to warning for a NULL new_value
match  fb52b8692d09  3b7cbb8c20da  ve: Implement current_user_ns_initial() helper
match  20eef9f20391  d37b2ef8055a  vecalls: fix VZCTL_GET_CPU_STAT uptime_jif scale
match  ac501ec33a5d  6380b684aecb  ve: introduce ve_init_user_ns() helper
match  8e84328b3143  f016c44eaf64  ve/acct: Allow process accounting in containers
match  a5da6255f5f0  1df8924fd85d  ve/kernel: allow to increase rlimit from inside container
match  494f507eee5b  dc4cd70dac1b  ve/cgroup: Add pseudosuper state for restore sake
match  3d7c0b17abe9  705ee84aed19  ve/security: device_cgroup -- Allow manage devices in @pseudosuper state
match  c4dcf58cca1c  56ac4a82e4a8  VE: convert khelper_wq to kthread_worker
match  70843281eae3  d386c10a556f  ve/cgroups: fake num_cgroups in /proc/cgroups output
match  4556902e9c3d  8bce9a5cce41  cgroup: Mark cgroup CGRP_VE_ROOT
match  da5f5ddf8601  7b36fd1b587f  ve/cgroup: Mangle cgroups root from inside of VE view
match  14702bbc66d6  fa27ad49e26a  ve/cgroup: do not virtualize output of cgroup_path
match  b950f3957fc2  9584209f3cbd  ve/cgroup: Allow to write to several safe cgroup files from CT
match  aa858647e506  7f7f3330964d  ve/cgroups: Introduce subgroups_limit control
match  39226ada3b93  608b2a842543  ms/net/RDS: verify the underlying transport exists before creating a connection
match  6c49ad3216cc  9b89ff400795  ms/netlabel: fix the netlbl_catmap_setlong() dummy function
match  5ba3972e98f9  02ed47a9475b  netns: export net_assign_generic()
match  34d7b23506ab  25d718b38ab1  net: Make sit feature optional
match  1e9065e082c8  72dd63b78193  net: Make ipip feature optional
match  79f247f3f8ee  bafd5b112042  net: Add sysctl_tcp_use_sg to disable NETIF_F_SG sk route capability
match  36718fa69401  87ff6dad8766  net: Add NETIF_F_VENET netdev feature and optimized skb forwarding
match  d7472480fd18  62e818cecf11  net: Add NETIF_F_VIRTUAL feature to mask devices allowed in CT
match  c403c2da1426  3615634dabac  net: Make neigh_alloc() return ENOMEM in kmalloc() failed
match  4a186cc5a584  22e32757e27f  tun: Create tun_flags file on for init_net only
match  680ba8c087be  2c53438b655d  net: move dev_name_hash/dev_index_hash to netdevice.h
match  56764ffe79a4  33c1bd643063  net: introduce ip_rt_src_check
match  e3018eb30584  8e6f4c6a7245  net: honor TW_WSCALE_MASK/TW_WSCALE_SPEC
match  cd3587cca3fe  caaa2204fb81  net/compilation: sysctl_tcp_adv_win_scale
match  3d22e564b2ad  c8914aef64d2  net: don't push data in a socket in repair state
match  53ec001f3cde  3cec8bf14672  net: force tcp maximum segment size (MSS) to 64K
match  23130a2b80ec  f8b9069a3d0b  net: shift rcv_nxt appropriately in case we received only part of data
match  694df13c8e53  5b71ec21c6fc  net/udp: honor SK_FORCE_REUSE
match  9e4676b48d0a  1fc8df48961d  net/ipv6: fix MIP6 compilation
match  f6c79e4af565  899c4ed53fa6  net: fix cbq quantum calculation
match  97211d69f0db  88c94e1d30a2  net/teql: disable "True" (or "trivial") link equalizer inside a CT
match  09efcec9515d  f34b394941a9  veip: initial patch
match  1921efd0202f  67e0d655691d  ve: export ve_subsys symbol
match  37631f925fde  67aaae176ae7  drivers/net/ve: venet network device introduced
match  e83b711b5792  b9dfa57fd332  venet: delay skb_orphan() for venet CT->host path optimization
match  c06ff55de3a6  fdd15764d920  veip: Add commentary about veip_shutdown_hook
match  398f975aa290  5e439deea2d9  venet: ipX_forward headroom check
match  6a0fe25c9d5c  b7c90a0f9883  ve/net,netfilter: Adjust REDIRECT target on venet device
match  7437502e5896  e60b221d31bb  fs/nfs: don't use delayed unmount for nfs.
match  f5ba0b663a39  d6c6f8c62ddd  ve/net/sysfs: Porting diff-ve-net-sysfs-drop-redundant-net_ipv4_route_path and diff-ve-net-route-bring-back-route_src_check
match  284d5f60ee38  b1c5e22266b5  ve/net: allow to rename devices in non-ve namespaces
match  be0c5b7b6bff  fcbd8d7e0208  ve/net: Add ipt_mask checks into ip6table_nat
match  f0b97f288b98  3fac11fe516b  ve/net: Add VE_NF_CONNTRACK check in resolve_normal_ct()
match  5cc4855f0149  175cb25c2ddb  ve/net: sit: fix crash on newlink if VE_FEATURE_SIT is disabled
match  8c6598c86d4c  fbe6b38fb872  VE/NET: don't oops in net_generic() on disabled features
match  394da6d25286  6200f2bb2058  ve/net/packet: show tx-ring warning only for host
match  e722809c61fc  34f4a7e786ea  ve/net: restrict number of net devices for CT
match  3c651737994e  281e62c27464  ve/net/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  4aeff5c0ca6b  633029bfd5b3  ve/net: restrict ethtool to CT root userns and prohibit EEPROM change
match  bf382ac1b466  f39133b1113a  ve/bridge: br_dev_init: check if "bridge" feature is enabled
match  7411c307186f  3d941e043c80  ve/tun: expose "owner", "group" and "tun_flags" attributes in container
match  0b4a84a6513a  9204e5a19c1e  ve/net: Fix vlan NETIF_F_VIRTUAL feature initialization
match  9856cad7a93b  0a0cf05d5369  ve/net/ppp: introduce VE_FEATURE_PPP feature
match  8d8649dae2ab  1605b0dc856a  ve/net/dummy: enable support in a container
match  a11bde349c33  6d7dbcbfd72d  ve/net/ip_gre: containerize per-net devices
match  999450b92c11  7d3fa9729a09  ve/net: ip_vti: skip per net init in ve
match  f2bead9a061e  c39722c0ed9c  ve/net: ipip: enable in container
match  b83ae1a2f0e0  0a6cafdcf666  ve/net/vxlan: enable support in a container
match  bf2a8021eef1  8c3af6b30d5d  ve/net: introduce TAP accounting
match  cf3fa1c81dfc  60cb9aff163d  vzeth: initial patch
match  27996be62b2a  d02c44b08485  ve/veth: don't drop skb->mark if NETIF_F_VENET is set
match  7114e9c23f85  2386fc044da0  vzevent: initial patch
match  8f218c260b6d  9777c3088b8b  ve/uevent: Use own uevent_seqnum for every VE
match  395e595366e9  2e80cff61d16  ve/kobj: Send events per VE instead of all net-namespaces broadcasting
match  a94e477c94e8  16198bc8efdf  ve/net: introduce vz_security_*_check checks
match  7d9552ac2cf7  8503a337d862  cpuset: initial patch
match  4b51a16fea48  47282860339b  cpuset/cpus: don't propagate changes to empty descendant cgroups
match  82dd8a5d0d2b  a2d0a7175733  net/sched: restore "mpu xxx" handling
match  d90978b38495  677278e80e25  ve/printk: printk virtualization
match  105414570c10  4afeeb2cb390  ve/printk: per-CT printk helpers introduced
match  2ff6399bed28  3b68e970d1c8  printk: Add touch_all_softlockup_watchdogs() to console_unlock()
match  2b92fad134ac  eff0c5b9404e  fs/quota: Compatibility with older quotactl interface
match  b30a77e0a1e3  0ff1fc6db47a  ve/quota: allow to manage quota in top CT user ns
match  3f781910c61f  ac9196d60a22  quota: missing lock in dqcache_shrink_scan()
match  01ca4ab3f5a0  1c2b2dedc6d1  proc: Show vcpu in do_task_stat()
match  fc1a02636aff  06d06163e14a  fs/proc: enhance proc_fd_access_allowed() and provide appropriate error code to callers
match  1fc3df745fba  1bf469697c48  fs/proc: print fairshed stat
match  3802a3d5a204  00caf14febfe  ve/proc: restricted proc-entries scope
match  53b5b0bcca43  bff4908bf275  blkcg: Hide not allowed device from /proc/devices
match  635a6b55f928  152a737a2258  ve/proc/block: Show CT allowed partitions in /proc/partitions
match  e00781ac4de9  8089470f982d  ve/proc: use memcg limits for showing oom_score inside CT
match  17be108b5214  67da43fe6219  ve/fs: drop useless d_root_check()
match  f1c1cb7185c0  b3dbe41908bc  ve/proc/time: Port diff-ve-proc-report-real_start_time-in-_proc_PID_stat-if-CONFIG_VE
match  c6c516f49331  c31510745b7e  ve/proc: fix mangling cgroup mount source path in container
match  711a2ee394f2  2779aeba5368  ve/proc/net: proc_net_create() helper introduced
match  275abea35579  bf49077545fb  ve/proc/net: virtualize all the network proc entries
match  3b7a3b696105  a875b0bd8ebd  ve/proc/net/nr_cpus: cut lines in /proc/net/softnet_stat to number of vcpus in CT
match  46ab38de481a  aaab6268ef4a  ve/module: hide module refcounts from container
match  808594accf43  e08d6d88cb69  sysctl: Change sysctl::show_unhandled_signals default
match  6fdedbbeea99  1f6b5e3e7aae  sysctl: make hotplug, printk and mmap_min_addr accessible inside a CT
match  be4e005e183f  cbce3feae43c  ve/sysctl: write permission restriction
match  063dc907ba7d  b98bb807dddc  ve/sysctl: implement virtualized methods
match  80dd580f137e  da59c51a1a4d  ve/sysctl/ipc: mark as virtualized
match  e29f70742b2c  06721ec832bb  sysctl: make may_detach_mounts immutable in CT
match  a18d9e7971a3  367e231df923  ve/sysctl/pidns: allow to change sysctl "ns_last_pid" from containers
match  7533e6ce21d1  44635ed933d6  ve/sysctl: allow to write kernel/hostname and kernel/domainname entries in container
match  a11143b64fa8  55ef89cabf89  ve/sysctl/net: allow "net.unix.max_dgram_qlen" sysctl in CT init userns
match  1d800b9f37d3  b6a6fb788c4b  ve/sysctl/net: allow net.ipv4.vs.* in CT init userns
match  29142e041d4b  1e118cab6021  ve/coredump: virtualize kernel.core_pattern sysctl
match  6a061fbc8803  6444a0b295e8  ms/coredump: fix unfreezable coredumping task
match  30944ec4bf5c  fe60919d9c75  ms/sched/numa: fix unsafe get_task_struct() in task_numa_assign()
match  de989cafb6ca  9ac44ba74013  delayacct: Add stats primitives
match  789c66783e75  6964867b6204  kernel: Account nr_zombie and nr_dead
match  4bcd010c12b9  c47ba9676033  sched: Count rq::nr_sleeping and cfs_rq::nr_unint
match  18398d08a79e  2e7287dc7c9e  sched: Account cfs_rq::nr_iowait
match  b1e80bbd66fc  cda80cec6e9d  sched: Add primitives to calculate nr running, sleeping, stopped and uninterruptible tasks
match  a394f679d719  947e03933bd5  sched: Account task_group::start_time
match  b38c796e5150  4f2c4f33ba32  sched: Change show_state() view
match  e2a35d5089a4  1c4375e135f8  sched: Account ve_task_info::sleep_time
match  53e3da5cf0a3  7d83eaf24f57  sched: Export per task_group statistics_work
match  33110a8359fd  9cd056f26bfd  sched: Add cpulimit base interfaces
match  20ac0c516e2a  f5d56a9956c4  sched: put setting scheduller under CAP_SYS_ADMIN (instead of SYS_NICE)
match  13a0f3381551  94228437ddef  sched: prohibit setting affinity from inside a CT
match  fe0546b1d504  04f7f2d759af  sched: other changes
match  53440fc383d4  bb2a9c25dcdf  sched/stat: initial patch
match  2c8ca79a2923  f14291ca0427  sched/stat: account ctxsw per task group
match  1cb1b981123a  67c9104264a6  sched/stat: account forks per task group
match  4b6af03cd886  98e8f8bc48df  ve/sched: port nr cpus limit
match  b82bcad644cb  133ebf7e2495  ve/sched: port vcpu hotslice
match  a03b9b4c3124  653d93c779ef  sched: Port diff-sched-initialize-runtime-to-non-zero-on-cfs-bw-set
match  1dfe6ea49321  a0f40386f34c  ms/sched: Port diff-sched-increase-SCHED_LOAD_SCALE-resolution
match  f9963feb6a72  fbfafcc63e7f  sched: Port diff-sched-clear-prev-entity-if-curr-is-dequeued
match  e681f1abdcc0  915ce40beeff  sched: Port diff-sched-return-only-virtual-cpus-in-sched_getaffinity
match  eddd72bc2443  21617d249350  sched: Port cpustat related patches
match  55be7c04bda0  721418ca968d  sched: Port diff-sched-make-nr_cpus-limit-support-hierarchies
match  a0b8a70819eb  68c4efe99714  ve/sched: Hide steal time from inside CT
match  ddc6e2a11e7e  01fda0dda484  sched: disable dumping cfs info on sysrq trigger
match  c55fb0e3de60  c3f42acd1005  ms/sched/core: Fix unserialized r-m-w scribbling stuff
match  9f772d1d9090  0ca68f86057f  ve/fairsched: Resurrect proc fairsched files
match  f8ad828be3a7  564dba8be392  sched: use topmost limited ancestor for cpulimit balancing
match  8c9d0515746a  a4e37d22b898  ms/sched/fair: Initialize throttle_count for new task-groups lazily
match  88064f1b7db2  6b4d38423192  sched: debug: show nr_failed_migrations_cpulimit
match  73c5289a0f30  bd905f4651db  ve/sched: make load balancing more agressive
match  a52b0d7962da  a309650c67eb  ms/sched: Fix race on toggling cfs_bandwidth_used
match  053b4dd56230  fe31f6f4054d  ve/sched: sched_show_task: call task_ve_name() under RCU lock
match  46255655d3d8  729bae49fe15  ms/sched/numa: Fix use-after-free bug in the task_numa_compare
match  a1a6ca62eb2f  445e2b504468  sched: Count loadavg under rq::lock in calc_load_nohz_start()
match  30ae5219692d  722721a29ae9  OpenVZ 7 config file
match  c6505b034b2e  2e9ba9d157f0  ms/epoll: fix use-after-free in eventpoll_release_file
match  74ec7a6e7237  f0c9085b0463  ms/epoll: Make fdinfo to always success
match  ed835086e9f1  ce2c239e1bfe  fs: Lower ioprio in case of ioprio_set() called from CT
match  2eb69ba7e9fc  4dea3f2d66c3  fs: Show saved signal mask in /proc/[pid]/status
match  961b16cdab22  99c69f194654  fs: Split statfs_by_dentry()
match  d5b653298dc4  ee4b17159a28  fs: Restrict ve sync methods
match  75a21266ca91  dc282ec1a601  fs: Mask appropriate filesystems FS_VIRTUALIZED
match  8ee641c53851  6ca5172f5b70  fs: exec_mmap() arg corrected
match  bba9e7ef6164  0a1698fdd354  ve/fs: Port diff-ve-fs-allow-to-remove-swapfile-hardlinks
match  a4498ef72b56  98c679424c0e  VE/FS: allow to mknod inside ct
match  79c11ab6c168  d6af6afaecfd  ve/fs/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  0f73b24588d2  98740f47441d  ve/fs/namei: check containers capabilities in may_linkat()
match  9351c7408a7b  68ec2d898497  ve/fs/namei: fix capabilities check in sys_renameat2 () to support Containers
match  7e7094e0e9b9  3b0bb9caa487  ve/fanotify: Use ve-capable instead of plain capable test
match  178da772dc3d  bb791e596984  ve/fs/locks: Make CAP_LEASE work in containers
match  776e59e4fb1e  f602318b8f36  ve/fs/autofs: mark autofs as virtualized
match  1598ab9af4c7  b615a2899dba  ms/autofs: show pipe inode in mount options
match  f9e0726c7514  8a15b2e0d481  VE/FS: containerize filesystems access
match  5f9f317b7ac8  3bf3c3b70b43  ve/fs: mark virtual filesystems as virtualized
match  576f2b259bbc  651e80d4e947  ve/fs/nfs: NFS containerization
match  0ce7daec8ad2  37346d3d52b7  nfs: abort delegation in dying VE
match  a22d941fc8a0  e4c9742190d0  ms/NFS: Don't call COMMIT in ->releasepage()
match  8de3ab641b31  3d94580ab452  ms/NFS/CIFS/SUNRPC: don't allow to freeze execution
match  5ebe2fabbbe5  e7f6c59fcb1d  ve/fs/nfsd: NFSd containerization
match  7d03a2959107  c821c007a639  ve/sunrpc: containerize kthreads
match  f9f7ed2e6430  c28977a5fbe3  ve/nfsd: enable UMH client tracker in a container
match  1ce4136209ea  9241ed3ab02a  ve/nfsd: disable legacy recovery tracking for containers
match  2ec9c0dcc2a1  b2813ccc4d3f  ve/nfsd: do not print nfscld warning in a container
match  698a790e8c79  d427df636175  nfsd: return file system superblock time granulaty on FSINFO request
match  03a505d47c0b  c65bb50988e1  ve/fs: virtualize devtmpfs file system
match  ab878ea9dd17  8bfc8de04599  ve/fs/devpts: don't require newinstance
match  63c61c932bfb  2554f4c55fe3  ve/devpts: Assign containers @devpts_sb on first mount
match  3da70e7f6159  104cb23bbe39  ve/fs/binfmt: move all internal data to structure
match  183f5d68e473  e1112b0c1f0c  ve/fs/binfmt: virtualization
match  67dc0d3fe586  2d849d5d3ab9  ve/binfmt_misc: destroy all nodes on ve stop
match  4e17f1f1240f  78d73f60d04e  ve/fs: introduce "fs.fsync-enable" and "fs.odirect_enable" sysctls
match  09d457070b19  25c53389b75a  rh/fs: introduce "fs.relatime_interval" sysctl
match  dfed35abd791  96c7ab4c42a2  rh/fs: unwind changes on shift_arg_pages error path
match  26ecacfb4d44  53345b5a3518  vfs/nfs: add set_flags wrapper
match  487368014308  7ce3a7b04fa5  fs/shmem: skip "relatime" in shmem_parse_options()
match  d88467fa2bd3  ce81851fc1d2  tmpfs: shmem_fallocate must return ERESTARTSYS
match  230ad5a8bec9  66cc8e447675  fs: add fadvise file_operation
match  decac393ed24  8567306317c0  ve/fs/ioprio: confine ioprio_{set, get}(IOPRIO_WHO_USER) to current ve
match  56249c0c675f  1de83ea0347e  mm/fs: Port diff-mm-debug-memallocation-caused-fs-reentrance
match  5f6bb7163dfa  8c486daf44ac  ve/fs: Port diff-ve-fs-security-check-for-mount
match  016c4f3e28f0  38784e221abf  ve/fs/inotify: do not impose limit on the number of instances by default
match  cc4c0af84a96  10eea60beff4  ve/fs: Allow to mount ext4 and binfmt_misc under non-root ns
match  9f6b73fdf2a2  9af20b5bc5e0  ms/fsnotify: Make fdinfo to always success
match  41a1db86ee0a  13a340aa3dc2  ve/fs: add per-VE limit of mount points
match  45aa7a331e1b  6f305af1e278  ve/fs: namespace -- Ignore device permissions during restore
match  bb2a9ccb215d  104f219ac607  ve/fs: namespace -- Don't fail on permissions if @ve->devmnt_list is empty
match  e8dcf025848d  66038f94658f  ve: remove sysctl_fsync_enable and use ve_fsync_behavior instead
match  e0f41ae9a0c3  01974984a25b  fs: fix accounting pipe buffers to kmemcg
match  3d6e4192ab79  0dc1c553d46a  ve: remove sync_mutex
match  8bed4d6adccb  32b689c29f34  ms/fs/super.c: fix WARN on alloc_super() fail path
match  3d301dbcbc61  e61d42dd69c8  fs/block_dev: fix NULL ptr deref in freeze_bdev()
match  964aeaef98bc  395dfe185abd  ms/fs/file.c:fdtable: avoid triggering OOMs from alloc_fdmem
match  d625c4dd77c3  f3d9d50355da  ms/fs: Fix race when checking i_size on direct i/o read
match  789e19368239  f056fde10da4  fs: FIEMAP should sync only required range with FIEMAP_FLAG_SYNC
match  54ef03941a42  afd4357696a2  fs: ioctl_fiemap must check what filemap_write_and_wait_range returns
match  22ffbb4d72b8  ae44744d8627  ve/fs/writeback: filter per-container inodes earlier
match  4f6563d8bd6b  fecdedc93c4c  ve/fs/overlay: allow overlayfs to be used inside a Container
match  a5fd25c488ef  d46fe68bc1e1  overlayfs: unmark overlayfs as tech preview
match  4da7b581e4c2  4fd242544763  fs/aio: kernel direct aio
match  983b85cd33fa  433c9fe2ea6d  ve/fs/aio: aio_nr & aio_max_nr variables virtualization
match  29938ebaa794  6aaeb7352389  ve/fs: Export fs.aio-max-nr via ve cgroup
match  ac15fe38baa2  e1619e45f516  ms/aio: Multiply passed nr_events in io_setup()
match  7acaa8db90de  0bc8087429cb  ve/aio: Add a handle to checkpoint/restore AIO context
match  8e0ab8926367  1d4c7f672bb3  fs/ceph: honor kernel direct aio changes v2
match  830634363bb0  e9eaf5bc472c  pid_ns: Virtualize pid_max
match  d9d059f45357  74300ec6faa7  PIDNS: implement change_pid_ns()
match  c90372ce228a  b5f7fb3c3512  ms/pidns: Make the pidns proc mount/umount logic
match  e08d6eef9f83  2b88565b58b5  pid: export symbol nex_pidmap
match  874659c628cd  d93357ca1622  pidns: Disable pid allocation if pid_ns_prepare_proc() is failed in alloc_pid()
match  21de544d0bf4  6314a1aef662  pidns: add proc mount option 'hidepidns=0|1'
match  cc4f15c2d780  78e74233f944  signal: make SIGKILL top priority signal
match  34c6bb17df03  3a1e0d637bde  ve/signal: Ignore signals from wrong ve
match  22bf9090e35e  434f8bcb2d26  signal: don't rearm a posix-timer if siginfo was queued from user-space
match  cc0688a41d05  446567cf77fe  Use ve init task's css instead of opening cgroup via vfs
match  d00e2c014fd1  37be40a2c33d  ve: add one more SHUTDOWN hook chain
match  55658440044c  b9a30a36c239  KMAPSET: set of key-value mappings with build-in
match  f74ff4d7cfe0  0572d8409066  drivers/core/sysfs: respect ns when removing sys dev link
match  f554cba54dc7  87bd18858c35  ms/cfq-iosched: remove @gfp_mask from cfq_find_alloc_queue()
match  5c1d16340ca3  ea74085e7040  ms/cfq-iosched: simplify control flow in cfq_get_queue()
match  e227eafce5ed  48a9e89e04da  ms/cfq-iosched: fix async oom queue handling
match  111eea409817  ec1013930101  ms/cfq-iosched: fix oom cfq_queue ref leak in cfq_set_request()
match  59695e0263d8  0c86e7dec7ab  block: Export disk_type,block_class and disk_name
match  ddca945fe5b0  13870415e0da  block: suppress hard lockup warning in elv_drain_elevator
match  396cecc6fb1f  57a1d9c7c1f1  kthread: make of a new kthread's queuing code to a callback
match  ef0441a06d36  4cdde054550c  ve/kthread: kthreads creation facility introduced
match  8790cc1f0b36  c9af22f06767  ve/kthread: introduce kthread_run_ve() helper
match  6e15f139ce99  588f5289af3d  ve/kthread: khelper kthread in a container introduced
match  83a0cbc88045  96dc548117f5  ms/mpi: revert "Remove unused code from MPI library"
match  983bf4860965  daca9f8c24e8  ms/mpi: revert "Revert "crypto: GnuPG based MPI lib -
match  07c7c1e06727  9979547e5b6d  mpi: export arithmetic functions required for in-kernel DSA implementation
match  3ab3c1015967  cc4a0487ba3b  config.OpenVZ: OpenVZ related config options are added
match  002586520f3a  6f14048fd784  bcache: check correctly for bcache cgroup subsystem presence
match  6f9bbda6aacf  1cddbfe711db  config: enable BCACHE as a module"
match  9524c2488bad  0a4a173f0d60  VE/sysrq-trigger: make it VE-namespace aware
match  76b0370ba6c3  d768c3cb28fb  radix-tree: save previous gfp_t tags in radix tree for dirty memory accounting
match  4c354f5ba356  370eb5e4272b  ve/posix-timers: reference ve monotonic clock from ve start (v2)
match  c403c56811c7  13b60890833e  timers should not get negative argument
match  e074083f8d78  b26ec2df4592  ve: Add interface for @start_timespec and @real_start_timespec adjustmen
match  b37ba1a9d7a1  b95829ed8e02  ve: Use @real_start_timespec in uptime_proc_show
match  ad9e96d6e3a6  32af12275b25  ve/futex/timeout: adjust futex timeout to absolule
match  9b6343741760  81b5f3927002  ms/netfilter: Add {ipt,ip6t}_osf aliases for xt_osf
match  c694d5cf77fd  dd4a373e0222  ve/netfilter: Basic ve transformations
match  d1d466a4c093  6643f78740f5  ve/netfilter: Restore revision 0 "iprange" match support
match  e6be77d7ef4f  eef598a97504  ve/netfilter: Restore revision 0 "mark" match and "MARK" target support
match  14b66fe4407c  9efa77512e2a  ve/netfilter: Restore revision 0 "tos" match support
match  cb96396e5063  898dc40e9002  ve/netfilter: Restore revision 0 "TOS" target support
match  35d862306dd8  babc598dd5bf  ve/netfilter: Restore revision 0 "connmark" match / "CONNMARK" target support
match  b7915bd68c93  624845560a11  ve/netfilter: MARK -- drop off @table entity to support rhel5 containers, v2
match  5a71bd009920  40cf082623ce  ve/netfilter: Restore revision 0 "owner" match support
match  c30834beed9a  9918cf64f1fe  ve/netfilter: Restore revision 0 "conntrack" match support
match  e48a10d0217c  edae62c1360e  ve/netfilter: Implement ip_conntrack_disable_ve0 module option
