# command:
# git-check-rebase --meta rebase_3.10.0-1160.66.1.el7_rh7-3.10.0-1160.76.1.el7.meta --rows-hide-level show_all --columns full vz7.188.x:rh7-3.10.0-1160.66.1.el7..rh7-3.10.0-1160.66.1.vz7.188.11 vz7.189.x:rh7-3.10.0-1160.76.1.el7..2a709cd369f2 > rebase_3.10.0-1160.66.1.el7_rh7-3.10.0-1160.76.1.el7.log
#

<tag>  vz7.188.x     vz7.189.x     SUBJECT
match  5aca03767c04  36718fa69401  net: Add NETIF_F_VENET netdev feature and optimized skb forwarding
match  a10bc060d075  d7472480fd18  net: Add NETIF_F_VIRTUAL feature to mask devices allowed in CT
match  e10c10a0437b  c403c2da1426  net: Make neigh_alloc() return ENOMEM in kmalloc() failed
match  77a9ec64b088  4a186cc5a584  tun: Create tun_flags file on for init_net only
match  3c51e300c19c  680ba8c087be  net: move dev_name_hash/dev_index_hash to netdevice.h
match  4eac22e70956  56764ffe79a4  net: introduce ip_rt_src_check
match  9c8bafd844ec  e3018eb30584  net: honor TW_WSCALE_MASK/TW_WSCALE_SPEC
match  00e044f474b2  cd3587cca3fe  net/compilation: sysctl_tcp_adv_win_scale
match  61c74b2e4310  3d22e564b2ad  net: don't push data in a socket in repair state
match  3ba9a3868c67  53ec001f3cde  net: force tcp maximum segment size (MSS) to 64K
match  026f7d34c9c8  23130a2b80ec  net: shift rcv_nxt appropriately in case we received only part of data
match  0737dbda2351  694df13c8e53  net/udp: honor SK_FORCE_REUSE
match  b8a8b6304c7d  9e4676b48d0a  net/ipv6: fix MIP6 compilation
match  052c6734162e  f6c79e4af565  net: fix cbq quantum calculation
match  5b58b086ff66  97211d69f0db  net/teql: disable "True" (or "trivial") link equalizer inside a CT
match  fe85804d86dc  09efcec9515d  veip: initial patch
match  ff9125b9f125  1921efd0202f  ve: export ve_subsys symbol
match  9b58d6323b2e  37631f925fde  drivers/net/ve: venet network device introduced
match  d930bf07108a  e83b711b5792  venet: delay skb_orphan() for venet CT->host path optimization
match  ba20f255aacd  c06ff55de3a6  veip: Add commentary about veip_shutdown_hook
match  a1ae19262674  398f975aa290  venet: ipX_forward headroom check
match  93e8dafcfd7c  6a0fe25c9d5c  ve/net,netfilter: Adjust REDIRECT target on venet device
match  6460d5e71e33  7437502e5896  fs/nfs: don't use delayed unmount for nfs.
match  89f15fd592af  f5ba0b663a39  ve/net/sysfs: Porting diff-ve-net-sysfs-drop-redundant-net_ipv4_route_path and diff-ve-net-route-bring-back-route_src_check
match  b2aa4fc7cdc0  284d5f60ee38  ve/net: allow to rename devices in non-ve namespaces
match  8af712e477a4  be0c5b7b6bff  ve/net: Add ipt_mask checks into ip6table_nat
match  9fc7f413d2cb  f0b97f288b98  ve/net: Add VE_NF_CONNTRACK check in resolve_normal_ct()
match  0473d82e4aeb  5cc4855f0149  ve/net: sit: fix crash on newlink if VE_FEATURE_SIT is disabled
match  28a9048295f9  8c6598c86d4c  VE/NET: don't oops in net_generic() on disabled features
match  8b54e16cba57  394da6d25286  ve/net/packet: show tx-ring warning only for host
match  e1d9b560a8f2  e722809c61fc  ve/net: restrict number of net devices for CT
match  14b579784fda  3c651737994e  ve/net/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  b7a7337c8c87  4aeff5c0ca6b  ve/net: restrict ethtool to CT root userns and prohibit EEPROM change
match  1ca07a4448d2  bf382ac1b466  ve/bridge: br_dev_init: check if "bridge" feature is enabled
match  bb85c0c6048c  7411c307186f  ve/tun: expose "owner", "group" and "tun_flags" attributes in container
match  3f561a7b3e7e  0b4a84a6513a  ve/net: Fix vlan NETIF_F_VIRTUAL feature initialization
match  7846748f8245  9856cad7a93b  ve/net/ppp: introduce VE_FEATURE_PPP feature
match  cf69ee185042  8d8649dae2ab  ve/net/dummy: enable support in a container
match  43a5a7d481e4  a11bde349c33  ve/net/ip_gre: containerize per-net devices
match  51a57df6a3ca  999450b92c11  ve/net: ip_vti: skip per net init in ve
match  23ef14471899  f2bead9a061e  ve/net: ipip: enable in container
match  5f96236d5273  b83ae1a2f0e0  ve/net/vxlan: enable support in a container
match  05443c73b248  bf2a8021eef1  ve/net: introduce TAP accounting
match  3094df8ae49d  cf3fa1c81dfc  vzeth: initial patch
match  fcd0b31190e3  27996be62b2a  ve/veth: don't drop skb->mark if NETIF_F_VENET is set
match  25074660f788  7114e9c23f85  vzevent: initial patch
match  ac50b12063c5  8f218c260b6d  ve/uevent: Use own uevent_seqnum for every VE
match  6bd57c53588f  395e595366e9  ve/kobj: Send events per VE instead of all net-namespaces broadcasting
match  1752e83a99fa  a94e477c94e8  ve/net: introduce vz_security_*_check checks
match  01ed0ea670cc  7d9552ac2cf7  cpuset: initial patch
match  ed5a1b8f94eb  4b51a16fea48  cpuset/cpus: don't propagate changes to empty descendant cgroups
match  c7ce745aa914  82dd8a5d0d2b  net/sched: restore "mpu xxx" handling
match  de2e4b220199  d90978b38495  ve/printk: printk virtualization
match  1312ceb946cd  105414570c10  ve/printk: per-CT printk helpers introduced
match  201238ab84a4  2ff6399bed28  printk: Add touch_all_softlockup_watchdogs() to console_unlock()
match  3b93e5c683dd  2b92fad134ac  fs/quota: Compatibility with older quotactl interface
match  36360d0af0e4  b30a77e0a1e3  ve/quota: allow to manage quota in top CT user ns
match  cea36775a91a  3f781910c61f  quota: missing lock in dqcache_shrink_scan()
match  6e5f0ab1ef36  01ca4ab3f5a0  proc: Show vcpu in do_task_stat()
match  0d11cab72724  fc1a02636aff  fs/proc: enhance proc_fd_access_allowed() and provide appropriate error code to callers
match  328fd0b73435  1fc3df745fba  fs/proc: print fairshed stat
match  f801dbe22822  3802a3d5a204  ve/proc: restricted proc-entries scope
match  34086ef5c8c2  53b5b0bcca43  blkcg: Hide not allowed device from /proc/devices
match  23ca09843176  635a6b55f928  ve/proc/block: Show CT allowed partitions in /proc/partitions
match  1cffea914c6c  e00781ac4de9  ve/proc: use memcg limits for showing oom_score inside CT
match  713c11cc48f2  17be108b5214  ve/fs: drop useless d_root_check()
match  04504982d6db  f1c1cb7185c0  ve/proc/time: Port diff-ve-proc-report-real_start_time-in-_proc_PID_stat-if-CONFIG_VE
match  1e004ccc190e  c6c516f49331  ve/proc: fix mangling cgroup mount source path in container
match  999187d7e89d  711a2ee394f2  ve/proc/net: proc_net_create() helper introduced
match  a528270d4f88  275abea35579  ve/proc/net: virtualize all the network proc entries
match  e8f46ff60605  3b7a3b696105  ve/proc/net/nr_cpus: cut lines in /proc/net/softnet_stat to number of vcpus in CT
match  13506f22ebb0  46ab38de481a  ve/module: hide module refcounts from container
match  676865e51c4a  808594accf43  sysctl: Change sysctl::show_unhandled_signals default
match  072513992c37  6fdedbbeea99  sysctl: make hotplug, printk and mmap_min_addr accessible inside a CT
match  fc731aee1346  be4e005e183f  ve/sysctl: write permission restriction
match  6a5e9fc1d10b  063dc907ba7d  ve/sysctl: implement virtualized methods
match  0baa1712459e  80dd580f137e  ve/sysctl/ipc: mark as virtualized
match  1f59192db1ad  e29f70742b2c  sysctl: make may_detach_mounts immutable in CT
match  9e1332672c71  a18d9e7971a3  ve/sysctl/pidns: allow to change sysctl "ns_last_pid" from containers
match  aba8ce1e658c  7533e6ce21d1  ve/sysctl: allow to write kernel/hostname and kernel/domainname entries in container
match  9508cd154412  a11143b64fa8  ve/sysctl/net: allow "net.unix.max_dgram_qlen" sysctl in CT init userns
match  76e25fb1373d  1d800b9f37d3  ve/sysctl/net: allow net.ipv4.vs.* in CT init userns
match  979b987ae2b1  29142e041d4b  ve/coredump: virtualize kernel.core_pattern sysctl
match  b5b7c352edff  6a061fbc8803  ms/coredump: fix unfreezable coredumping task
match  b05125899009  30944ec4bf5c  ms/sched/numa: fix unsafe get_task_struct() in task_numa_assign()
match  9cf1b4d6be78  de989cafb6ca  delayacct: Add stats primitives
match  0cd8c520f1e7  789c66783e75  kernel: Account nr_zombie and nr_dead
match  438c354e58de  4bcd010c12b9  sched: Count rq::nr_sleeping and cfs_rq::nr_unint
match  733a8f25883e  18398d08a79e  sched: Account cfs_rq::nr_iowait
match  b096322dcb33  b1e80bbd66fc  sched: Add primitives to calculate nr running, sleeping, stopped and uninterruptible tasks
match  5051672aa882  a394f679d719  sched: Account task_group::start_time
match  881a0dd20644  b38c796e5150  sched: Change show_state() view
match  ec110a592087  e2a35d5089a4  sched: Account ve_task_info::sleep_time
match  d35e7a2a8178  53e3da5cf0a3  sched: Export per task_group statistics_work
ok     7b7fdcdea0dc  33110a8359fd  sched: Add cpulimit base interfaces
match  5f1056db8d19  20ac0c516e2a  sched: put setting scheduller under CAP_SYS_ADMIN (instead of SYS_NICE)
match  cad09df896a8  13a0f3381551  sched: prohibit setting affinity from inside a CT
ok     1f15e0f1f149  fe0546b1d504  sched: other changes
match  64130fce4693  53440fc383d4  sched/stat: initial patch
match  b042d2ab4615  2c8ca79a2923  sched/stat: account ctxsw per task group
match  1e220d563830  1cb1b981123a  sched/stat: account forks per task group
match  2dda8cdbe3c9  4b6af03cd886  ve/sched: port nr cpus limit
ok     46306aeca404  b82bcad644cb  ve/sched: port vcpu hotslice
match  845889d5546f  a03b9b4c3124  sched: Port diff-sched-initialize-runtime-to-non-zero-on-cfs-bw-set
match  43924e50e646  1dfe6ea49321  ms/sched: Port diff-sched-increase-SCHED_LOAD_SCALE-resolution
match  5fcc6c6ef3a3  f9963feb6a72  sched: Port diff-sched-clear-prev-entity-if-curr-is-dequeued
match  9fc9950ed321  e681f1abdcc0  sched: Port diff-sched-return-only-virtual-cpus-in-sched_getaffinity
ok     d1ac80050ead  eddd72bc2443  sched: Port cpustat related patches
match  e96625f6bd05  55be7c04bda0  sched: Port diff-sched-make-nr_cpus-limit-support-hierarchies
match  6aaa5021e28b  a0b8a70819eb  ve/sched: Hide steal time from inside CT
match  ca6689823ba3  ddc6e2a11e7e  sched: disable dumping cfs info on sysrq trigger
match  a94d10582961  c55fb0e3de60  ms/sched/core: Fix unserialized r-m-w scribbling stuff
match  bdeaa46ccead  9f772d1d9090  ve/fairsched: Resurrect proc fairsched files
match  527293c95162  f8ad828be3a7  sched: use topmost limited ancestor for cpulimit balancing
match  9c51fb2c965f  8c9d0515746a  ms/sched/fair: Initialize throttle_count for new task-groups lazily
match  f968c7b476fa  88064f1b7db2  sched: debug: show nr_failed_migrations_cpulimit
match  c78974b4898a  73c5289a0f30  ve/sched: make load balancing more agressive
match  c9593b9fbdcc  a52b0d7962da  ms/sched: Fix race on toggling cfs_bandwidth_used
match  fde707454757  053b4dd56230  ve/sched: sched_show_task: call task_ve_name() under RCU lock
match  2899d7d003a3  46255655d3d8  ms/sched/numa: Fix use-after-free bug in the task_numa_compare
match  7f1ee594cf9a  a1a6ca62eb2f  sched: Count loadavg under rq::lock in calc_load_nohz_start()
match  63eb85ce55e7  30ae5219692d  OpenVZ 7 config file
match  2181f7675150  c6505b034b2e  ms/epoll: fix use-after-free in eventpoll_release_file
match  e4cfaf558410  74ec7a6e7237  ms/epoll: Make fdinfo to always success
match  faef4965d4be  ed835086e9f1  fs: Lower ioprio in case of ioprio_set() called from CT
match  0a9505713897  2eb69ba7e9fc  fs: Show saved signal mask in /proc/[pid]/status
match  0bed0cc5535d  961b16cdab22  fs: Split statfs_by_dentry()
match  548d1bace2ac  d5b653298dc4  fs: Restrict ve sync methods
match  253dba98fb2e  75a21266ca91  fs: Mask appropriate filesystems FS_VIRTUALIZED
match  7f577e2f63a2  8ee641c53851  fs: exec_mmap() arg corrected
match  58b3bb78e52e  bba9e7ef6164  ve/fs: Port diff-ve-fs-allow-to-remove-swapfile-hardlinks
match  099e13dae028  a4498ef72b56  VE/FS: allow to mknod inside ct
match  41f101182c32  79c11ab6c168  ve/fs/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  ce36347fff6f  0f73b24588d2  ve/fs/namei: check containers capabilities in may_linkat()
match  d1123777889a  9351c7408a7b  ve/fs/namei: fix capabilities check in sys_renameat2 () to support Containers
match  c8185523bca5  7e7094e0e9b9  ve/fanotify: Use ve-capable instead of plain capable test
match  68a03f0acc58  178da772dc3d  ve/fs/locks: Make CAP_LEASE work in containers
match  c88292931b1f  776e59e4fb1e  ve/fs/autofs: mark autofs as virtualized
match  064d3f0c8d29  1598ab9af4c7  ms/autofs: show pipe inode in mount options
match  a5582cd922c0  f9e0726c7514  VE/FS: containerize filesystems access
match  60c214d2c69e  5f9f317b7ac8  ve/fs: mark virtual filesystems as virtualized
match  f780767e3c02  576f2b259bbc  ve/fs/nfs: NFS containerization
match  0334b09e84e8  0ce7daec8ad2  nfs: abort delegation in dying VE
match  2be73d7cf366  a22d941fc8a0  ms/NFS: Don't call COMMIT in ->releasepage()
match  df2ff25851b9  8de3ab641b31  ms/NFS/CIFS/SUNRPC: don't allow to freeze execution
match  bba8b630fd8a  5ebe2fabbbe5  ve/fs/nfsd: NFSd containerization
match  94cbe61b287f  7d03a2959107  ve/sunrpc: containerize kthreads
match  1f406816dc70  f9f7ed2e6430  ve/nfsd: enable UMH client tracker in a container
match  254ff5322ae7  1ce4136209ea  ve/nfsd: disable legacy recovery tracking for containers
match  eca2ee4132b1  2ec9c0dcc2a1  ve/nfsd: do not print nfscld warning in a container
match  3dc676b283b0  698a790e8c79  nfsd: return file system superblock time granulaty on FSINFO request
match  6ed96e82562c  03a505d47c0b  ve/fs: virtualize devtmpfs file system
match  d3b28efb63ba  ab878ea9dd17  ve/fs/devpts: don't require newinstance
match  a5a43574dd78  63c61c932bfb  ve/devpts: Assign containers @devpts_sb on first mount
match  3645be5d5655  3da70e7f6159  ve/fs/binfmt: move all internal data to structure
match  d83829348033  183f5d68e473  ve/fs/binfmt: virtualization
match  d7be0da7a30c  67dc0d3fe586  ve/binfmt_misc: destroy all nodes on ve stop
match  4e83ced8517e  4e17f1f1240f  ve/fs: introduce "fs.fsync-enable" and "fs.odirect_enable" sysctls
match  061062142a1f  09d457070b19  rh/fs: introduce "fs.relatime_interval" sysctl
match  f6dff03c6c45  dfed35abd791  rh/fs: unwind changes on shift_arg_pages error path
match  d20a68d8fd94  26ecacfb4d44  vfs/nfs: add set_flags wrapper
match  4b18a7fd92c9  487368014308  fs/shmem: skip "relatime" in shmem_parse_options()
match  10b801ca11a6  d88467fa2bd3  tmpfs: shmem_fallocate must return ERESTARTSYS
match  fc408623f126  230ad5a8bec9  fs: add fadvise file_operation
match  19b56025be0e  decac393ed24  ve/fs/ioprio: confine ioprio_{set, get}(IOPRIO_WHO_USER) to current ve
match  0f5c99cf480e  56249c0c675f  mm/fs: Port diff-mm-debug-memallocation-caused-fs-reentrance
match  6cecd63a62d2  5f6bb7163dfa  ve/fs: Port diff-ve-fs-security-check-for-mount
match  2ff7ae00888d  016c4f3e28f0  ve/fs/inotify: do not impose limit on the number of instances by default
match  f2427751aef3  cc4c0af84a96  ve/fs: Allow to mount ext4 and binfmt_misc under non-root ns
match  a781a9657d0b  9f6b73fdf2a2  ms/fsnotify: Make fdinfo to always success
match  a3a80e8e90b2  41a1db86ee0a  ve/fs: add per-VE limit of mount points
match  306c00f3c621  45aa7a331e1b  ve/fs: namespace -- Ignore device permissions during restore
match  f5bdcdc253e2  bb2a9ccb215d  ve/fs: namespace -- Don't fail on permissions if @ve->devmnt_list is empty
match  fdcc7459d580  e8dcf025848d  ve: remove sysctl_fsync_enable and use ve_fsync_behavior instead
match  705dc5f5dc25  e0f41ae9a0c3  fs: fix accounting pipe buffers to kmemcg
match  1730301795df  3d6e4192ab79  ve: remove sync_mutex
match  eb45a76e2422  8bed4d6adccb  ms/fs/super.c: fix WARN on alloc_super() fail path
match  c0d69528132d  3d301dbcbc61  fs/block_dev: fix NULL ptr deref in freeze_bdev()
match  65f406501f18  964aeaef98bc  ms/fs/file.c:fdtable: avoid triggering OOMs from alloc_fdmem
match  8de9338acfbc  d625c4dd77c3  ms/fs: Fix race when checking i_size on direct i/o read
match  625f75a34726  789e19368239  fs: FIEMAP should sync only required range with FIEMAP_FLAG_SYNC
match  b3b0aeecc475  54ef03941a42  fs: ioctl_fiemap must check what filemap_write_and_wait_range returns
match  6242d1a4eb1c  22ffbb4d72b8  ve/fs/writeback: filter per-container inodes earlier
match  95f2031aa056  4f6563d8bd6b  ve/fs/overlay: allow overlayfs to be used inside a Container
match  e90260eb93c0  a5fd25c488ef  overlayfs: unmark overlayfs as tech preview
match  377a1f77f690  4da7b581e4c2  fs/aio: kernel direct aio
match  e7bea52bbd51  983b85cd33fa  ve/fs/aio: aio_nr & aio_max_nr variables virtualization
match  7ca9c79f8530  29938ebaa794  ve/fs: Export fs.aio-max-nr via ve cgroup
match  ecb65c48cc7d  ac15fe38baa2  ms/aio: Multiply passed nr_events in io_setup()
match  2b600e3931f4  7acaa8db90de  ve/aio: Add a handle to checkpoint/restore AIO context
match  9108f29bf997  8e0ab8926367  fs/ceph: honor kernel direct aio changes v2
match  f7371bcf09e9  830634363bb0  pid_ns: Virtualize pid_max
match  bd82a5f18e59  d9d059f45357  PIDNS: implement change_pid_ns()
match  1795385f6e1e  c90372ce228a  ms/pidns: Make the pidns proc mount/umount logic
match  a6000bf87b2c  e08d6eef9f83  pid: export symbol nex_pidmap
match  ac9c53a63fad  874659c628cd  pidns: Disable pid allocation if pid_ns_prepare_proc() is failed in alloc_pid()
match  274a274fb4a6  21de544d0bf4  pidns: add proc mount option 'hidepidns=0|1'
match  e6725c41d1e4  cc4f15c2d780  signal: make SIGKILL top priority signal
match  93aff3dfca3e  34c6bb17df03  ve/signal: Ignore signals from wrong ve
match  0b2099a93ef9  22bf9090e35e  signal: don't rearm a posix-timer if siginfo was queued from user-space
match  f7bc77e2ee05  cc0688a41d05  Use ve init task's css instead of opening cgroup via vfs
match  383603f95630  d00e2c014fd1  ve: add one more SHUTDOWN hook chain
match  9d90f65a5331  55658440044c  KMAPSET: set of key-value mappings with build-in
match  67ff86910bb1  f74ff4d7cfe0  drivers/core/sysfs: respect ns when removing sys dev link
match  5bc7d3657a80  f554cba54dc7  ms/cfq-iosched: remove @gfp_mask from cfq_find_alloc_queue()
match  d557d68ddadf  5c1d16340ca3  ms/cfq-iosched: simplify control flow in cfq_get_queue()
match  9208a8480bb4  e227eafce5ed  ms/cfq-iosched: fix async oom queue handling
match  29a9d2b195f4  111eea409817  ms/cfq-iosched: fix oom cfq_queue ref leak in cfq_set_request()
match  9c54a792d332  59695e0263d8  block: Export disk_type,block_class and disk_name
match  0091889ca1a8  ddca945fe5b0  block: suppress hard lockup warning in elv_drain_elevator
match  77ab1ba70281  396cecc6fb1f  kthread: make of a new kthread's queuing code to a callback
match  26d795119708  ef0441a06d36  ve/kthread: kthreads creation facility introduced
match  26d14991214d  8790cc1f0b36  ve/kthread: introduce kthread_run_ve() helper
match  d72b8781fdef  6e15f139ce99  ve/kthread: khelper kthread in a container introduced
match  a2fd276d52a2  83a0cbc88045  ms/mpi: revert "Remove unused code from MPI library"
match  05c5b3ec5e74  983bf4860965  ms/mpi: revert "Revert "crypto: GnuPG based MPI lib -
match  63cd6b7ef6cc  07c7c1e06727  mpi: export arithmetic functions required for in-kernel DSA implementation
match  4d746c07f33f  3ab3c1015967  config.OpenVZ: OpenVZ related config options are added
match  2423994cfa8c  002586520f3a  bcache: check correctly for bcache cgroup subsystem presence
match  9189d6424020  6f9bbda6aacf  config: enable BCACHE as a module"
match  4762d52c93d0  9524c2488bad  VE/sysrq-trigger: make it VE-namespace aware
match  ecc0bca99402  76b0370ba6c3  radix-tree: save previous gfp_t tags in radix tree for dirty memory accounting
match  f05c7bf377dc  4c354f5ba356  ve/posix-timers: reference ve monotonic clock from ve start (v2)
match  a8358c8c4f22  c403c56811c7  timers should not get negative argument
match  7e74c8ea7fb3  e074083f8d78  ve: Add interface for @start_timespec and @real_start_timespec adjustmen
match  9d8b4b6cf952  b37ba1a9d7a1  ve: Use @real_start_timespec in uptime_proc_show
match  06f2fa841267  ad9e96d6e3a6  ve/futex/timeout: adjust futex timeout to absolule
